subject,rating,spooncolor,yogurtcolor,feature
28,5,green,pink,saltiness
29,4,green,pink,saltiness
30,4,green,pink,saltiness
31,4,green,pink,saltiness
32,3,green,pink,saltiness
33,2,green,pink,saltiness
34,4,green,pink,saltiness
35,6,green,pink,saltiness
36,4,green,pink,saltiness
37,7,green,pink,saltiness
38,2,green,pink,saltiness
39,3,green,pink,saltiness
40,5,green,pink,saltiness
1,7,white,pink,saltiness
2,4,white,pink,saltiness
3,3,white,pink,saltiness
4,4,white,pink,saltiness
5,5,white,pink,saltiness
6,5,white,pink,saltiness
7,7,white,pink,saltiness
8,1,white,pink,saltiness
9,6,white,pink,saltiness
10,5,white,pink,saltiness
11,2,white,pink,saltiness
12,6,white,pink,saltiness
13,3,white,pink,saltiness
14,2,white,pink,saltiness
15,3,white,pink,saltiness
16,2,white,pink,saltiness
17,6,white,pink,saltiness
18,7,white,pink,saltiness
19,2,white,pink,saltiness
20,7,white,pink,saltiness
21,4,white,pink,saltiness
22,7,white,pink,saltiness
23,7,white,pink,saltiness
24,4,white,pink,saltiness
25,6,white,pink,saltiness
26,2,white,pink,saltiness
27,5,white,pink,saltiness
28,4,white,pink,saltiness
29,3,white,pink,saltiness
30,3,white,pink,saltiness
31,5,white,pink,saltiness
32,3,white,pink,saltiness
33,2,white,pink,saltiness
34,5,white,pink,saltiness
35,6,white,pink,saltiness
36,7,white,pink,saltiness
37,8,white,pink,saltiness
38,1,white,pink,saltiness
39,2,white,pink,saltiness
40,7,white,pink,saltiness
1,5,black,pink,saltiness
2,2,black,pink,saltiness
3,6,black,pink,saltiness
4,3,black,pink,saltiness
5,3,black,pink,saltiness
6,4,black,pink,saltiness
7,4,black,pink,saltiness
8,1,black,pink,saltiness
9,6,black,pink,saltiness
10,4,black,pink,saltiness
11,2,black,pink,saltiness
12,8,black,pink,saltiness
13,2,black,pink,saltiness
14,2,black,pink,saltiness
15,2,black,pink,saltiness
16,2,black,pink,saltiness
17,3,black,pink,saltiness
18,7,black,pink,saltiness
19,7,black,pink,saltiness
20,3,black,pink,saltiness
21,6,black,pink,saltiness
22,6,black,pink,saltiness
23,4,black,pink,saltiness
24,6,black,pink,saltiness
25,5,black,pink,saltiness
26,1,black,pink,saltiness
27,6,black,pink,saltiness
28,2,black,pink,saltiness
29,5,black,pink,saltiness
30,4,black,pink,saltiness
31,7,black,pink,saltiness
32,2,black,pink,saltiness
33,7,black,pink,saltiness
34,4,black,pink,saltiness
35,4,black,pink,saltiness
36,6,black,pink,saltiness
37,7,black,pink,saltiness
38,2,black,pink,saltiness
39,1,black,pink,saltiness
40,7,black,pink,saltiness
